,id,name,adress,latitude,longitude
0,12080,Russian State Library (Российская государственная библиотека),"Воздвиженка Ул., д. 3/5 (Моховая ул.), 119019, Москва",55.751546,37.609549
1,12080,Библиотека-читальня им. И. С. Тургенева,"Бобров пер., 6, 101000, Москва",55.765086,37.634308
2,12080,Российская государственная библиотека для молодежи,"Большая Черкизовская Ул., д. 4, 107061, Москва",55.795829,37.717763
3,12080,ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ ДЕТСКАЯ БИБЛИОТЕКА им. А.П. ГАЙДАРА,"Ростовская наб., 5, 119121, Москва",55.742317,37.575219
4,12080,Российская государственная детская библиотека,"Калужская пл., 1, 119049, Москва",55.728369,37.612658
5,12000,Центральная городская молодежная библиотека имени М. А. Светлова,"Большая Садовая Ул., д. 1, Москва",55.76639,37.59082
6,12080,Центральная универсальная научная библиотека им. Н.А. Некрасова,"Бауманская Ул., д. 58/25, 105005, Москва",55.767194,37.67883
7,12080,ЦЕНТРАЛЬНАЯ БИБЛИОТЕКА ИМ. А.Н. ТОЛСТОГО,"Кутузовский Пр., 24, 121151, Москва",55.744569,37.545508
8,12080,Букводом,"5-й лучевой просек, 1, 107113, Москва",55.797171,37.675947
9,12080,Библиотека им. Ф.М. Достоевского,"Чистопрудный бульв., 25, 105062, Москва",55.760265,37.646779
